filename,relative_path,num_vars,num_clauses,ratio,result_resolution,time_resolution,mem_resolution_kb,result_dp,time_dp,mem_dp_kb,result_dpll,time_dpll,mem_dpll_kb,final_result
sample.cnf,sample.cnf,3,3,1.0,SAT,0.00219109992031008,20.3515625,SAT,0.00011879997327923775,4.9609375,SAT,4.680000711232424e-05,3.171875,SAT
sat_1.cnf,generated\sat_1.cnf,3,4,1.3333333333333333,SAT,0.0004371999530121684,5.3515625,SAT,5.419994704425335e-05,2.15625,SAT,6.2700011767447e-05,1.609375,SAT
sat_2.cnf,generated\sat_2.cnf,5,9,1.8,UNSAT,0.0010625000577419996,21.921875,UNSAT,0.00019569997675716877,4.9609375,UNSAT,0.00010519998613744974,1.3671875,UNSAT
sat_3.cnf,generated\sat_3.cnf,4,4,1.0,SAT,7.479998748749495e-05,2.1640625,SAT,4.600000102072954e-05,1.5859375,SAT,4.1599967516958714e-05,0.484375,SAT
sat_4.cnf,generated\sat_4.cnf,3,6,2.0,UNSAT,6.939994636923075e-05,3.40625,UNSAT,6.859994027763605e-05,3.2890625,UNSAT,0.00010039994958788157,0.75,UNSAT
sat_5.cnf,generated\sat_5.cnf,3,4,1.3333333333333333,SAT,0.00045279995538294315,5.953125,SAT,5.740008782595396e-05,2.3984375,SAT,3.590004052966833e-05,0.484375,SAT
unsat_1.cnf,generated\unsat_1.cnf,1,2,2.0,UNSAT,6.590003613382578e-05,1.6953125,UNSAT,4.810001701116562e-05,1.6875,UNSAT,3.2199895940721035e-05,0.2421875,UNSAT
unsat_2.cnf,generated\unsat_2.cnf,1,2,2.0,UNSAT,7.589999586343765e-05,1.6953125,UNSAT,2.8699985705316067e-05,1.6875,UNSAT,1.8400023691356182e-05,0.2421875,UNSAT
unsat_3.cnf,generated\unsat_3.cnf,1,2,2.0,UNSAT,8.210004307329655e-05,1.6953125,UNSAT,4.4199987314641476e-05,1.6875,UNSAT,4.6600005589425564e-05,0.2421875,UNSAT
unsat_4.cnf,generated\unsat_4.cnf,1,2,2.0,UNSAT,6.089999806135893e-05,1.6953125,UNSAT,4.6200002543628216e-05,1.6875,UNSAT,3.359990660101175e-05,0.2421875,UNSAT
unsat_5.cnf,generated\unsat_5.cnf,1,2,2.0,UNSAT,4.000007174909115e-05,1.6953125,UNSAT,3.160000778734684e-05,1.6875,UNSAT,1.889991108328104e-05,0.2421875,UNSAT
