filename,relative_path,ratio,vars,clauses,result,time_resolution,time_dp,time_dpll
sample.cnf,sample.cnf,1.0,3,3,SAT,0.0020538000389933586,6.38000201433897e-05,3.8400059565901756e-05
sat_1.cnf,generated\sat_1.cnf,1.3333333333333333,3,4,SAT,0.0002824000548571348,7.800001185387373e-05,0.00010029994882643223
sat_2.cnf,generated\sat_2.cnf,1.8,5,9,UNSAT,0.0007806000066921115,0.000125700025819242,9.640003554522991e-05
sat_3.cnf,generated\sat_3.cnf,1.0,4,4,SAT,8.09000339359045e-05,4.900002386420965e-05,4.429998807609081e-05
sat_4.cnf,generated\sat_4.cnf,2.0,3,6,UNSAT,0.00011909997556358576,6.340001709759235e-05,0.00010159995872527361
sat_5.cnf,generated\sat_5.cnf,1.3333333333333333,3,4,SAT,0.0004667999455705285,5.9699988923966885e-05,3.760005347430706e-05
unsat_1.cnf,generated\unsat_1.cnf,2.0,1,2,UNSAT,3.869994543492794e-05,2.6399968191981316e-05,1.7400016076862812e-05
unsat_2.cnf,generated\unsat_2.cnf,2.0,1,2,UNSAT,6.250001024454832e-05,3.460003063082695e-05,1.9600032828748226e-05
unsat_3.cnf,generated\unsat_3.cnf,2.0,1,2,UNSAT,3.790005575865507e-05,2.6900088414549828e-05,1.8000020645558834e-05
unsat_4.cnf,generated\unsat_4.cnf,2.0,1,2,UNSAT,3.3100019209086895e-05,2.7499976567924023e-05,1.7600017599761486e-05
unsat_5.cnf,generated\unsat_5.cnf,2.0,1,2,UNSAT,3.2100011594593525e-05,2.829998265951872e-05,3.970006946474314e-05
